"c_name","source","r_id","r_year","r_month","r_female","p_interest","p_economy","Econ_Dem","Dec_Dem","Eff_Dem","Comp_Dem"
"Tunisia","Arab Barometer Wave VII",211972,2021,10,1,"Very uninterested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211973,2021,10,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211974,2021,10,0,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211975,2021,10,0,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211976,2021,10,1,"Interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211977,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211978,2021,10,0,"Very uninterested","Very bad","Disagree","Strongly agree","Agree","Strongly disagree"
"Tunisia","Arab Barometer Wave VII",211979,2021,11,0,"Interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211980,2021,11,0,"Interested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211981,2021,10,1,"Very interested","Very bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211982,2021,10,0,"Very interested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211983,2021,11,0,"Very interested","Very bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211984,2021,11,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211985,2021,11,1,"Very interested","Very bad","Strongly agree","Agree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211986,2021,11,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211987,2021,10,1,"Very uninterested","Very bad","Strongly agree","Strongly agree","Strongly agree","Agree"
"Tunisia","Arab Barometer Wave VII",211988,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211989,2021,10,0,"Uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211990,2021,11,1,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211991,2021,10,0,"Interested","Very bad","Strongly agree","Strongly agree","Strongly agree","Strongly disagree"
"Tunisia","Arab Barometer Wave VII",211992,2021,11,1,"Very uninterested","Very bad",NA,"Strongly agree","Strongly disagree",NA
"Tunisia","Arab Barometer Wave VII",211993,2021,11,0,"Very uninterested","Bad",NA,NA,NA,NA
